 ,GENG-B,Title,Country.x,Country.y,DocDate,InForce,End,GEN.ID,IEA,ECOLEX,James,Xiaolei,Frederic,Google in English,Download Treaty,Amended by,Suspended by,Amends,Supersedes,Lineage,Sequence,Secretariat,Website,AdoptPlace,FullText,DocLangs,Keywords,Data,Articles..etc.,Issue,enabledByTreaty,searchDate,obsolete,abstract,region,subject,officialPublication,Form,Type,Mutuality,Subject,Target,Species,Area
?,GENG-1623,Agreement between the Ministry of Agriculture of the Russian Federation and the Ministry of Food and Agriculture of Mongolia on cooperation in the sphere of inland fisheries,MNG,RUS,2002-09-19,2002-09-19,NA,GFG-1009,NA,TRE-149895,,,No end date listed in treaty text | Not listed in UN Treaty Collection,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DAgreement%2520between%2520the%2520Ministry%2520of%2520Agriculture%2520of%2520the%2520Russian%2520Federation%2520and%2520the%2520Ministry%2520of%2520Food%2520and%2520Agriculture%2520of%2520Mongolia%2520on%2520cooperation%2520in%2520the%2520sphere%2520of%2520inland%2520fisheries%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88YhrnHqgUiGQDxp4NLdldyfXM9CQqu5MGJ7oTap4bsyMc,Yes,,,,,,NA,,http://txt.mcx.ru,,,Russian,inland fisheries|non-commercial fishing|artisanal fishing|aquaculture|equipment|fishing gear/fishing method|fish products|processing/handling,,,Fisheries,,,,,,,,Agreement,Agreement,,Fisheries Cooperation,Straddling,Fish,Straddling
?,GENG-662,Agreement between the government of the Union of Soviet Socialist Republics and the government of the People's Republic of Mozambique concerning co-operation in the field of fisheries,MOZ,RUS,1976-02-12,NA,NA,GFG-457,IEA-4152,NA,,,No end date listed in treaty text nor in UN Treaty Collection | Listed under https://treaties.un.org/Pages/showDetails.aspx?objid=08000002800f136f,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DAgreement%2520between%2520the%2520government%2520of%2520the%2520Union%2520of%2520Soviet%2520Socialist%2520Republics%2520and%2520the%2520government%2520of%2520the%2520People%27s%2520Republic%2520of%2520Mozambique%2520concerning%2520co-operation%2520in%2520the%2520field%2520of%2520fisheries%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Yh7nHqgUiGQDxp4NLeXF8er-NaujqTWIcta9jbscaMbY,Yes,,,,,,100,No known secretariat,,,,,,,,Fisheries,,,,,,,,Agreement,Agreement,,Fisheries Cooperation,,Fish,
?,GENG-1508,Agreement between the Government of the Republic of Mozambique and the Government of the Kingdom of Swaziland on the Establishment and Functioning of the Joint Water Commission,MOZ,SWZ,1999-07-30,NA,NA,,IEA-4865,NA,,,Not listed in UN Treaty Collection,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DAgreement%2520between%2520the%2520Government%2520of%2520the%2520Republic%2520of%2520Mozambique%2520and%2520the%2520Government%2520of%2520the%2520Kingdom%2520of%2520Swaziland%2520on%2520the%2520Establishment%2520and%2520Functioning%2520of%2520the%2520Joint%2520Water%2520Commission%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Yh7nHqgUiGQDxp4NLeXF8er-NaujqTWIcta9jbscaMbY,No,,,,,Not Yet Assigned,100,No known secretariat,NA,NA,NA,NA,NA,,,Water,NA,NA,NA,NA,NA,NA,NA,,,,,,,
?,GENG-1161,Agreement Concerning Fishing Matters,MOZ,ZAF,1992-08-31,NA,NA,GFG-771,IEA-839,NA,,Not listed in UN Treaty Collection,,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DAgreement%2520Concerning%2520Fishing%2520Matters%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88YiLnHqgUiGQDxp4NLnchKo10NIcBSFnS6RuF-EIqm5Xk,No,,,,,,100,No known secretariat,,,,,,,,Fisheries,,,,,,,,Agreement,Agreement,,Fishing,Straddling,Fish,Straddling
?,GENG-1366,Agreement between the Government of the Republic of South Africa and the Government of the Republic of Mozambique on Establishment and Functioning of the Joint Water Commission,MOZ,ZAF,1996-07-26,NA,NA,,IEA-4864,NA,,No end date listed in UNTC (treaty text not available) | https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280209149,,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DAgreement%2520between%2520the%2520Government%2520of%2520the%2520Republic%2520of%2520South%2520Africa%2520and%2520the%2520Government%2520of%2520the%2520Republic%2520of%2520Mozambique%2520on%2520Establishment%2520and%2520Functioning%2520of%2520the%2520Joint%2520Water%2520Commission%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88YiLnHqgUiGQDxp4NLnchKo10NIcBSFnS6RuF-EIqm5Xk,Yes,,,,,Not Yet Assigned,100,No known secretariat,NA,NA,NA,NA,NA,,,Water,NA,NA,NA,NA,NA,NA,NA,,,,,,,
?,GENG-716,Agreement On Fishing Between The Federal Military Government Of The Federal Republic Of Nigeria And The Government Of The Islamic Republic Of Mauritania,MRT,NGA,1977-03-14,NA,NA,GFG-498,IEA-534,NA,,,Not listed in UN Treaty Collection,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DAgreement%2520On%2520Fishing%2520Between%2520The%2520Federal%2520Military%2520Government%2520Of%2520The%2520Federal%2520Republic%2520Of%2520Nigeria%2520And%2520The%2520Government%2520Of%2520The%2520Islamic%2520Republic%2520Of%2520Mauritania%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88YibnHqgUiGQDxp4NLXm-O6VlzQgsP5mHlk30A66yYxag,No,,,,,,100,Secretariat not yet identified,,,,,,,,Fisheries,,,,,,,,Agreement,Agreement,,Fishing,,Fish,
%,GENG-860,Agreement on co-operation in the field of maritime fisheries,MRT,RUS,1981-01-31,NA,1984-12-31,,NA,NA,,,"End date listed in treaty text, however, no end date listed in UN Treaty Collection | Added by Frederic in subject area Fisheries under https://treaties.un.org/Pages/showDetails.aspx?objid=08000002800de154",,Yes,,,,,,,,,,,,,,,Fisheries,,,,,,,,,,,,,,
%,GENG-1205,Agreement between the Government of the Russian Federation and the Government of the Islamic Republic of Mauritania on cooperation in the sphere of marine fisheries,MRT,RUS,1993-06-27,NA,1996-12-31,GFG-795,NA,TRE-150369,,,End date listed in treaty text | Listed under https://treaties.un.org/Pages/showDetails.aspx?objid=08000002800f136f,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DAgreement%2520between%2520the%2520Government%2520of%2520the%2520Russian%2520Federation%2520and%2520the%2520Government%2520of%2520the%2520Islamic%2520Republic%2520of%2520Mauritania%2520on%2520cooperation%2520in%2520the%2520sphere%2520of%2520marine%2520fisheries%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88YibnHqgUiGQDxp4NLXm-O6VlzQgsP5mHlk30A66yYxag,Yes,,,,,,NA,,http://www.vcom.ru,,,Russian,marine fisheries|fish products|exploration|fishing vessel,,,Fisheries,,,,,,,,Agreement,Agreement,,Fisheries Cooperation,,Fish,
?,GENG-1642,Marine Fisheries Agreement between the Government of the Russian Federation and the Government of Mauritania,MRT,RUS,2003-05-12,2003-05-12,NA,GFG-1016,NA,TRE-150702,,,No end date listed in treaty text nor in UN Treaty Collection | Listed under https://treaties.un.org/Pages/showDetails.aspx?objid=08000002800f136f | Listed under http://pravo.gov.ru/proxy/ips/?searchres=&bpas=cd00000&a3=&a3type=1&a3value=&a6=&a6type=1&a6value=&a15=&a15type=1&a15value=&a7type=1&a7from=&a7to=&a7date=&a8=&a8type=1&a1=%D1%CE%C3%CB%C0%D8%C5%CD%C8%C5+%CC%C5%C6%C4%D3+%CF%D0%C0%C2%C8%D2%C5%CB%DC%D1%D2%C2%CE%CC+%D0%CE%D1%D1%C8%C9%D1%CA%CE%C9+%D4%C5%C4%C5%D0%C0%D6%C8%C8+%C8+%CF%D0%C0%C2%C8%D2%C5%CB%DC%D1%D2%C2%CE%CC+%C8%D1%CB%C0%CC%D1%CA%CE%C9+%D0%C5%D1%CF%D3%C1%CB%C8%CA%C8+%CC%C0%C2%D0%C8%D2%C0%CD%C8%C8+%CE+%D1%CE%D2%D0%D3%C4%CD%C8%D7%C5%D1%D2%C2%C5+%C2+%CE%C1%CB%C0%D1%D2%C8+%CC%CE%D0%D1%CA%CE%C3%CE+%D0%DB%C1%CE%CB%CE%C2%D1%D2%C2%C0&a0=&a16=&a16type=1&a16value=&a17=&a17type=1&a17value=&a4=&a4type=1&a4value=&a23=&a23type=1&a23value=&textpres=&sort=7&x=63&y=16,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DMarine%2520Fisheries%2520Agreement%2520between%2520the%2520Government%2520of%2520the%2520Russian%2520Federation%2520and%2520the%2520Government%2520of%2520Mauritania%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88YirnHqgUiGQDxp4NLbf33EaR45Q5hYJPxZUkLter4FGM,Yes,,,,,,NA,,http://www.government.ru,,,Russian,marine fisheries|fishing licence|marine fishes|fish products|transhipment|exploration,,,Fisheries,,,,,,,,Agreement,Agreement,,Fishing,,Fish,
?,GENG-902,Convention Between Senegal And Mauritania Regarding Maritime Fisheries,MRT,SEN,1983-08-11,NA,NA,GFG-603,IEA-632,TRE-151728,,Not listed in UN Treaty Collection,No end date listed in treaty text,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DConvention%2520Between%2520Senegal%2520And%2520Mauritania%2520Regarding%2520Maritime%2520Fisheries%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88YirnHqgUiGQDxp4NLbf33EaR45Q5hYJPxZUkLter4FGM,Yes,,,,,,100,No known secretariat,,Nouakchott,,French,marine fisheries|fishery management and conservation|data collection/reporting|foreign fishing|artisanal fishing|landing|access right,,,Fisheries,,,,,,,,Convention,Agreement,Reciprocal,Cooperation,Fisheries,Fish,Straddling
?,GENG-1656,Agreement between the Government of Ukraine and the Government of the Islamic Republic of Mauritania on cooperation in the sphere of fisheries and sea,MRT,UKR,2003-12-04,NA,NA,GFG-1026,NA,TRE-149850,,,No end date listed in treaty text | Not listed in UN Treaty Collection,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DAgreement%2520between%2520the%2520Government%2520of%2520Ukraine%2520and%2520the%2520Government%2520of%2520the%2520Islamic%2520Republic%2520of%2520Mauritania%2520on%2520cooperation%2520in%2520the%2520sphere%2520of%2520fisheries%2520and%2520sea%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Yi7nHqgUiGQDxp4NLniOjIPxsem339mfsRFKh0w4ol4Y,Yes,,,,,,NA,,,,,Ukrainian,marine fisheries|fishing licence|foreign fishing|fishing vessel|research,,,Fisheries,,,,,,,,Agreement,Agreement,,Fisheries Cooperation,,Fish,
?,GENG-456,Agreement On Cooperation In The Field Of Sea Fishing,MUS,RUS,1970-07-14,NA,NA,GFG-327,IEA-322,NA,,,Not listed in UN Treaty Collection,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DAgreement%2520On%2520Cooperation%2520In%2520The%2520Field%2520Of%2520Sea%2520Fishing%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Yi7nHqgUiGQDxp4NLniOjIPxsem339mfsRFKh0w4ol4Y,No,,,,,Not Yet Assigned,100,No known secretariat,,,,,,,,Fisheries|Ocean,,,,,,,,Agreement,Agreement,Reciprocal,Cooperation,Fisheries,Fish,
?,GENG-580,Soviet-Mauritius Agreement On Cooperation In The Field Of Fisheries,MUS,RUS,1974-04-17,NA,NA,GFG-401,IEA-430,NA,,,Not listed in UN Treaty Collection,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DSoviet-Mauritius%2520Agreement%2520On%2520Cooperation%2520In%2520The%2520Field%2520Of%2520Fisheries%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Yi7nHqgUiGQDxp4NLniOjIPxsem339mfsRFKh0w4ol4Y,No,,,,,,100,No known secretariat,,,,,,,,Fisheries,,,,,,,,Agreement,Agreement,Reciprocal,Cooperation,Fisheries,Fish,
?,GENG-464,Agreement Between Malaysia And Thailand On Fisheries Cooperation,MYS,THA,1971-01-16,NA,NA,GFG-335,IEA-331,NA,,,Not listed in UN Treaty Collection,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DAgreement%2520Between%2520Malaysia%2520And%2520Thailand%2520On%2520Fisheries%2520Cooperation%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88YjLnHqgUiGQDxp4NLAZAbtKUqG3BxnG7TozZAuKMCnUU,No,,,,,,100,No known secretariat,,,,,,,,Fisheries,,,,,,,,Agreement,Agreement,Reciprocal,Cooperation,Fisheries,Fish,
%,GENG-826,Memorandum of Understanding between the Kingdom of Thailand and Malaysia on the Delimitation of the Continental Shelf Boundary between the two Countries in the Gulf of Thailand,MYS,THA,1979-10-24,1982-07-15,NA,,NA,TRE-148932,,,Still in force | http://www.un.org/depts/los/LEGISLATIONANDTREATIES/STATEFILES/MYS.htm,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DMemorandum%2520of%2520Understanding%2520between%2520the%2520Kingdom%2520of%2520Thailand%2520and%2520Malaysia%2520on%2520the%2520Delimitation%2520of%2520the%2520Continental%2520Shelf%2520Boundary%2520between%2520the%2520two%2520Countries%2520in%2520the%2520Gulf%2520of%2520Thailand%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88YjLnHqgUiGQDxp4NLAZAbtKUqG3BxnG7TozZAuKMCnUU,Yes,,,,,NA,NA,NA,NA,Kuala Lumpur,NA,English | Malay | Thai,international agreement-text | continental shelf | access right | dispute settlement,NA,NA,OCEAN,NA,24/10/1979,FALSE,"The Agreement indicates points that shall, connected by straight lines, delimit for each country the boundary of the Continental Shelf in parts of the Gulf of Thailand. The co-ordinates of these points are derived from a British Admiralty Chart. The actual location shall be established by defined competent authorities of each country by mutual agreement. The Governments shall continue negotiations to complete delimitation of the Continental Shelf in the Gulf of Thailand. The Remaining provisions concern compliance in each jurisdiction, petroleum or gas exploitation and dispute settlement through negotiation or consultation.",,Sea,,,,,,,,
%,GENG-827,Treaty between the Kingdom of Thailand and Malaysia relating to the Delimitation of the Territorial Seas of the two Countries,MYS,THA,1979-10-24,1982-07-15,NA,,NA,TRE-148929,,,Still in force | http://www.un.org/depts/los/LEGISLATIONANDTREATIES/STATEFILES/MYS.htm,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DTreaty%2520between%2520the%2520Kingdom%2520of%2520Thailand%2520and%2520Malaysia%2520relating%2520to%2520the%2520Delimitation%2520of%2520the%2520Territorial%2520Seas%2520of%2520the%2520two%2520Countries%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88YjLnHqgUiGQDxp4NLAZAbtKUqG3BxnG7TozZAuKMCnUU,Yes,,,,,NA,NA,NA,NA,Kuala Lumpur,NA,English | Malay | Thai,international agreement-text | maritime zone | territorial sea | dispute settlement,NA,NA,OCEAN,NA,24/10/1979,FALSE,This Treaty establishes a boundary between the two countries in the Straits of Malacca between the islands known as the â€œButang groupâ€ Pulau Langkawi and in the Gulf of Thailand The boundaries shall be formed by straight lines between specified points. Co-ordinates shall be derived from the British Admiralty Chart. The actual location shall be determined by a method to be agreed upon by the Parties. For this purposes competent authorities of each country are appointed. Any dispute shall be settled by peaceful negotiation or consultation.,East Asian Seas,Sea,,,,,,,,
?,GENG-2162,An inter-governmental agreement between Malaysia and Thailand was signed between the Ministers of Agriculture of both countries on 7th March 1997.,MYS,THA,1997-03-07,NA,NA,,NA,NA,,,No information on validity | Added as GENG-2162 by Frederic in subject area Water from International Freshwater Treaties Database,,No,,,,,,,,,,,,,,,Water,,,,,,,,,,,,,,
%,GENG-1306,Agreement between the Government of the United States of America and the Government of Malaysia Concerning the Transboundary Movement of Hazardous Wastes form Malaysia to the United States,MYS,USA,1995-05-10,1995-05-10,NA,,NA,TRE-150873,,,Still in force | http://www.state.gov/documents/organization/218912.pdf,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DAgreement%2520between%2520the%2520Government%2520of%2520the%2520United%2520States%2520of%2520America%2520and%2520the%2520Government%2520of%2520Malaysia%2520Concerning%2520the%2520Transboundary%2520Movement%2520of%2520Hazardous%2520Wastes%2520form%2520Malaysia%2520to%2520the%2520United%2520States%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88YjbnHqgUiGQDxp4NL5SovRzs7frq2EU-UIt4nxeMbVdo,No,,,,,NA,NA,NA,www.basel.int,Kuala lumpur,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-150873.pdf,English,international agreement-text | oil | natural gas | exploration | mining,NA,NA,WASTE,NA,10/5/1995,FALSE,"The Parties have agreed to promote long-term cooperation in the fields of prospecting, exploration drilling, mining and oil field and gas-field construction, operation of gas and oil pipelines, transit and export of oil and natural gas (art. 1). The Parties shall cooperate in exploration and operation of hydrocarbon resources on the territory of Turkmenistan and defined area of the Caspian sea (art. 3).",,Waste &amp; hazardous substances,,,,,,,,
?,GENG-1117,Exchange Of Notes Constituting An Agreement To Curb And Prevent Illegal Fishing,NAM,ZAF,1991-03-22,1991-03-22,NA,GFG-736,IEA-1258,NA,,,Not clear whether still in force as listed under http://196.14.41.167/dbtw-wpd/exec/dbtwpub.dll?AC=GET_RECORD&XC=/dbtw-wpd/exec/dbtwpub.dll&BU=http%3A%2F%2F196.14.41.167%2Fdbtw-wpd%2Ftextbase%2Fsearchhome.html&GI=&TN=Treatyweb&SN=AUTO25853&SE=5&RN=1&MR=20&TR=0&TX=1000&ES=0&XP=&RF=Selective+list+print&EF=&DF=Web+full+record&RL=0&EL=0&DL=0&NP=2&ID=&MF=&DT=&ST=0&IR=584&NR=0&NB=0&SV=0&SS=1&BG=ffffff&FG=000000&QS=Treatywebsearch | Not listed in UN Treaty Collection,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DExchange%2520Of%2520Notes%2520Constituting%2520An%2520Agreement%2520To%2520Curb%2520And%2520Prevent%2520Illegal%2520Fishing%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Yj7nHqgUiGQDxp4NLi0pQA5usKj9SMlnxR5jiyk-4fyg,No,,,,,,100,No known secretariat,,,,,,,,Fisheries,,,,,,,,Notes,Agreement,Reciprocal,Enforcement,,,
%,GENG-1247,Treaty between the Government of the Republic of South Africa and the Government of the Republic of Namibia with respect to Walvis Bay and the off-shore Islands,NAM,ZAF,1994-02-28,1994-03-01,NA,,NA,TRE-152370,,,Still in force | http://www.un.org/depts/los/LEGISLATIONANDTREATIES/STATEFILES/NAM.htm,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DTreaty%2520on%2520Walvis%2520Bay%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Yj7nHqgUiGQDxp4NLi0pQA5usKj9SMlnxR5jiyk-4fyg,Yes,,,,,NA,NA,NA,www.un.org,Walvis Bay,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-152370.pdf,English,international agreement-text | inland waters | dispute settlement | maritime zone | territorial sea,NA,NA,WATER|Ocean,NA,28/2/1994,FALSE,According to the provisions of this Treaty Walvis Bay and the Offshore Islands shall be incorporated/reintegrated into the Republic of Namibia on 1 March 1994. The Joint Administrative Authority shall cease to exist as of the date mentioned above. The Parties will regulate by way of further agreements any matter relating to the incorporation/reintegration. Any dispute arising from the application or interpretation of the Treaty shall be resolved amicably through the Diplomatic Channel.,,Sea | Water,33 I.L.M. 1526 (1994).,,,,,,,
?,GENG-2163,"Agreement on the Vioolsdrift and Noordoewer Joint Irrigation Scheme Between the Government of the Republic of South Africa and the Government of the Republic of Namibia. Pretoria, 26 April, 1993",NAM,ZAF,1992-04-26,NA,NA,,NA,NA,,,No information on validity | Added as GENG-2163 by Frederic in subject area Water from International Freshwater Treaties Database,,No,,,,,,,,,,,,,,,Water,,,,,,,,,,,,,,
%,GENG-1163,"Agreement between the Government of the Republic of Namibia and the Government of the Republic of South Africa on the establishment of a permanent Water Commission signed at Noordoewer, 14 September 1992",NAM,ZAF,1992-09-14,1992-09-14,NA,,NA,TRE-152235,,Still in force | http://portal.unesco.org/en/ev.php-URL_ID=47480&URL_DO=DO_TOPIC&URL_SECTION=201.html,Listed in International Freshwater Treaty Database,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DAgreement%2520between%2520the%2520Government%2520of%2520the%2520Republic%2520of%2520Namibia%2520and%2520the%2520Government%2520of%2520the%2520Republic%2520of%2520South%2520Africa%2520on%2520the%2520establishment%2520of%2520a%2520permanent%2520Water%2520Commission%2520signed%2520at%2520Noordoewer%252C%252014%2520September%25201992%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88YjbnHqgUiGQDxp4NL5SovRzs7frq2EU-UIt4nxeMbVdo,Yes,,,,,NA,NA,NA,NA,Noordoewer,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-152235.doc,English,international agreement-text | institution | catchment/watershed | freshwater resources management | inland waters | freshwater quality/freshwater pollution,NA,NA,WATER,NA,14/9/1992,FALSE,"The objective of the Commission shall be to act as technical adviser to the Parties on matters relating to the development and utilisation of water resources of common interest to the Parties and shall perform such other functions pertaining to the development and utilisation of such resources as the Parties may from time to time agree to assign to the Commission. The functions and powers of the Commission shall be to advise the Parties on: the reasonable demand for water from common water resources; investigations, separately or jointly by the Parties, related to the development of any water resource of common interest including the construction, operation and maintenance of any water works in connection therewith; the prevention of and control over the pollution of common water resources, soil erosion affecting such resources, etc.",,Water,32 I.L.M. 1147 (1993).,,,,,,,
?,GENG-1248,Agreement On Sea Fisheries Functions In Walvis Bay,NAM,ZAF,1994-03-01,1994-03-01,NA,GFG-829,IEA-900,NA,,Not clear whether still in force under http://196.14.41.167/dbtw-wpd/exec/dbtwpub.dll?AC=GET_RECORD&XC=/dbtw-wpd/exec/dbtwpub.dll&BU=http%3A%2F%2F196.14.41.167%2Fdbtw-wpd%2Ftextbase%2Fsearchhome.html&TN=Treatyweb&SN=AUTO13710&SE=791&RN=25&MR=20&TR=0&TX=1000&ES=0&CS=1&XP=&RF=Selective+list+print&EF=&DF=Web+full+record&RL=0&EL=0&DL=0&NP=2&ID=&MF=&MQ=&TI=0&DT=&ST=0&IR=740&NR=0&NB=1&SV=0&SS=1&BG=ffffff&FG=000000&QS=Treatywebsearch&OEX=ISO-8859-1&OEH=ISO-8859-1,,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DAgreement%2520On%2520Sea%2520Fisheries%2520Functions%2520In%2520Walvis%2520Bay%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88YjrnHqgUiGQDxp4NLue0pr53OqKQXhq9wjL3IGEKhWa0,Yes,,,,,Not Yet Assigned,100,No known secretariat,,,,,,,,Fisheries|Ocean,,,,,,,,Agreement,Agreement,,Fishing,NAM,Fish,NAM
